test_pack,#iter,time,turn,pass,all_iter,all_time,clock_per_sec
1PC,334,1.906,1000,1000,1000000,-1915.27,1000
1PC,335,1.872,1000,1000,1000000,-1915.27,1000
1PC,336,1.884,1000,1000,1000000,-1915.27,1000
1PC,337,1.872,1000,1000,1000000,-1915.27,1000
1PC,338,1.899,1000,1000,1000000,-1915.27,1000
1PC,339,1.967,1000,1000,1000000,-1915.27,1000
1PC,340,1.931,1000,1000,1000000,-1915.27,1000
1PC,341,1.94,1000,1000,1000000,-1915.27,1000
1PC,342,1.937,1000,1000,1000000,-1915.27,1000
1PC,343,1.897,1000,1000,1000000,-1915.27,1000
1PC,344,1.944,1000,1000,1000000,-1915.27,1000
1PC,345,1.865,1000,1000,1000000,-1915.27,1000
1PC,346,1.859,1000,1000,1000000,-1915.27,1000
1PC,347,1.867,1000,1000,1000000,-1915.27,1000
1PC,348,1.852,1000,1000,1000000,-1915.27,1000
1PC,349,1.922,1000,1000,1000000,-1915.27,1000
1PC,350,1.894,1000,1000,1000000,-1915.27,1000
1PC,351,1.931,1000,1000,1000000,-1915.27,1000
1PC,352,1.926,1000,1000,1000000,-1915.27,1000
1PC,353,1.855,1000,1000,1000000,-1915.27,1000
1PC,354,1.886,1000,1000,1000000,-1915.27,1000
1PC,355,1.852,1000,1000,1000000,-1915.27,1000
1PC,356,1.873,1000,1000,1000000,-1915.27,1000
1PC,357,1.913,1000,1000,1000000,-1915.27,1000
1PC,358,1.969,1000,1000,1000000,-1915.27,1000
1PC,359,1.952,1000,1000,1000000,-1915.27,1000
1PC,360,1.93,1000,1000,1000000,-1915.27,1000
1PC,361,1.978,1000,1000,1000000,-1915.27,1000
1PC,362,1.877,1000,1000,1000000,-1915.27,1000
1PC,363,1.819,1000,1000,1000000,-1915.27,1000
1PC,364,1.829,1000,1000,1000000,-1915.27,1000
1PC,365,1.82,1000,1000,1000000,-1915.27,1000
1PC,366,1.829,1000,1000,1000000,-1915.27,1000
1PC,367,1.82,1000,1000,1000000,-1915.27,1000
1PC,368,1.831,1000,1000,1000000,-1915.27,1000
1PC,369,1.819,1000,1000,1000000,-1915.27,1000
1PC,370,1.837,1000,1000,1000000,-1915.27,1000
1PC,371,1.821,1000,1000,1000000,-1915.27,1000
1PC,372,1.832,1000,1000,1000000,-1915.27,1000
1PC,373,1.822,1000,1000,1000000,-1915.27,1000
1PC,374,1.824,1000,1000,1000000,-1915.27,1000
1PC,375,1.859,1000,1000,1000000,-1915.27,1000
1PC,376,1.908,1000,1000,1000000,-1915.27,1000
1PC,377,1.855,1000,1000,1000000,-1915.27,1000
1PC,378,1.827,1000,1000,1000000,-1915.27,1000
1PC,379,1.822,1000,1000,1000000,-1915.27,1000
1PC,380,1.83,1000,1000,1000000,-1915.27,1000
1PC,381,1.825,1000,1000,1000000,-1915.27,1000
1PC,382,1.832,1000,1000,1000000,-1915.27,1000
1PC,383,1.832,1000,1000,1000000,-1915.27,1000
1PC,384,1.827,1000,1000,1000000,-1915.27,1000
1PC,385,1.823,1000,1000,1000000,-1915.27,1000
1PC,386,1.821,1000,1000,1000000,-1915.27,1000
1PC,387,1.83,1000,1000,1000000,-1915.27,1000
1PC,388,1.82,1000,1000,1000000,-1915.27,1000
1PC,389,1.836,1000,1000,1000000,-1915.27,1000
1PC,390,1.82,1000,1000,1000000,-1915.27,1000
1PC,391,1.833,1000,1000,1000000,-1915.27,1000
1PC,392,1.82,1000,1000,1000000,-1915.27,1000
1PC,393,1.849,1000,1000,1000000,-1915.27,1000
1PC,394,1.823,1000,1000,1000000,-1915.27,1000
1PC,395,1.831,1000,1000,1000000,-1915.27,1000
1PC,396,1.812,1000,1000,1000000,-1915.27,1000
1PC,397,1.838,1000,1000,1000000,-1915.27,1000
1PC,398,1.815,1000,1000,1000000,-1915.27,1000
1PC,399,1.823,1000,1000,1000000,-1915.27,1000
1PC,400,1.82,1000,1000,1000000,-1915.27,1000
1PC,401,1.829,1000,1000,1000000,-1915.27,1000
